source	metaedge	target
Gene::801	GiG	Gene::7428
Gene::5987	GiG	Gene::9412
Gene::5747	GiG	Gene::79738
Gene::3725	GiG	Gene::10514
Gene::10014	GiG	Gene::55844
Gene::2099	GiG	Gene::6206
Gene::4087	GiG	Gene::10589
Gene::9223	GiG	Gene::150084
Gene::960	GiG	Gene::57147
Gene::5108	GiG	Gene::7534
Gene::2033	GiG	Gene::8115
Gene::356	GiG	Gene::7341
Gene::996	GiG	Gene::4690
Anatomy::UBERON:0000955	AdG	Gene::153443
Anatomy::UBERON:0001893	AdG	Gene::11284
Anatomy::UBERON:0002037	AdG	Gene::126075
Anatomy::UBERON:0000948	AdG	Gene::219938
Anatomy::UBERON:0002046	AdG	Gene::90853
Anatomy::UBERON:0002107	AdG	Gene::23363
Anatomy::UBERON:0002371	AdG	Gene::124961
Anatomy::UBERON:0000007	AdG	Gene::7026
Anatomy::UBERON:0000178	AdG	Gene::135932
Anatomy::UBERON:0002081	AdG	Gene::10072
Anatomy::UBERON:0001675	AdG	Gene::124
Anatomy::UBERON:0002046	AdG	Gene::23643
Anatomy::UBERON:0000473	AdG	Gene::23769
Anatomy::UBERON:0001296	AdG	Gene::79720
Anatomy::UBERON:0000029	AdG	Gene::8402
Anatomy::UBERON:0000002	AdG	Gene::9275
Anatomy::UBERON:0001135	AdG	Gene::8473
Anatomy::UBERON:0001896	AdG	Gene::27145
Anatomy::UBERON:0001225	AdG	Gene::4054
Anatomy::UBERON:0001896	AdG	Gene::2052
Gene::1786	Gr>G	Gene::25874
Gene::9221	Gr>G	Gene::2852
Gene::5993	Gr>G	Gene::10362
Gene::8826	Gr>G	Gene::991
Gene::7490	Gr>G	Gene::8974
Gene::10775	Gr>G	Gene::8835
Gene::3725	Gr>G	Gene::55620
Gene::2185	Gr>G	Gene::4638
Gene::901	Gr>G	Gene::37
Gene::8574	Gr>G	Gene::375346